Link to details,Interactor 1,Interactor 1 title,Interactor 1 source organism,Interactor 1 sequence length,SCOP family 1,Interactor 2,Interactor 2 title,Interactor 2 source organism,Interactor 2 sequence length,SCOP family 2,Interface type,"Buried surface area, Å2",No. of contacts,No. of members in cluster,pdb_id
20 Details,9p3d_U,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_V,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,428.56,38,1,9p3d
21 Details,9p3d_U,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_W,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,1183.24,95,1,9p3d
22 Details,9p3d_U,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_f,Vibrio VopV,Vibrio cholerae,47,,hetero,558.22,53,1,9p3d
23 Details,9p3d_U,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_g,Vibrio VopV,Vibrio cholerae,47,,hetero,1116.58,96,1,9p3d
24 Details,9p3d_U,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_h,Vibrio VopV,Vibrio cholerae,47,,hetero,656.38,60,1,9p3d
25 Details,9p3d_V,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_W,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,430.13,37,1,9p3d
26 Details,9p3d_V,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_X,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,1234.11,102,1,9p3d
27 Details,9p3d_V,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_g,Vibrio VopV,Vibrio cholerae,47,,hetero,580.27,48,1,9p3d
28 Details,9p3d_V,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_h,Vibrio VopV,Vibrio cholerae,47,,hetero,1131.95,98,1,9p3d
29 Details,9p3d_V,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_i,Vibrio VopV,Vibrio cholerae,47,,hetero,671.32,62,1,9p3d
30 Details,9p3d_W,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_X,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,427.4,37,1,9p3d
31 Details,9p3d_W,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_Y,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,1219.59,100,1,9p3d
32 Details,9p3d_W,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_h,Vibrio VopV,Vibrio cholerae,47,,hetero,535.07,47,1,9p3d
33 Details,9p3d_W,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_i,Vibrio VopV,Vibrio cholerae,47,,hetero,1157.11,94,1,9p3d
34 Details,9p3d_W,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_j,Vibrio VopV,Vibrio cholerae,47,,hetero,673.75,66,1,9p3d
35 Details,9p3d_X,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_Y,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,427.05,36,1,9p3d
36 Details,9p3d_X,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_Z,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,1189.92,98,1,9p3d
37 Details,9p3d_X,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_i,Vibrio VopV,Vibrio cholerae,47,,hetero,561.79,52,1,9p3d
38 Details,9p3d_X,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_j,Vibrio VopV,Vibrio cholerae,47,,hetero,1095.51,98,1,9p3d
39 Details,9p3d_X,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_k,Vibrio VopV,Vibrio cholerae,47,,hetero,664.92,62,1,9p3d
40 Details,9p3d_Y,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_Z,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,431.26,36,1,9p3d
41 Details,9p3d_Y,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_a,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,1201.33,98,1,9p3d
42 Details,9p3d_Y,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_j,Vibrio VopV,Vibrio cholerae,47,,hetero,542.68,51,1,9p3d
43 Details,9p3d_Y,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_k,Vibrio VopV,Vibrio cholerae,47,,hetero,1108.5,98,1,9p3d
44 Details,9p3d_Y,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_l,Vibrio VopV,Vibrio cholerae,47,,hetero,682.2,67,1,9p3d
45 Details,9p3d_Z,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_a,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,homo,441.54,37,1,9p3d
46 Details,9p3d_Z,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_k,Vibrio VopV,Vibrio cholerae,47,,hetero,536.03,52,1,9p3d
47 Details,9p3d_Z,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_l,Vibrio VopV,Vibrio cholerae,47,,hetero,1132.57,96,1,9p3d
48 Details,9p3d_Z,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_m,Vibrio VopV,Vibrio cholerae,47,,hetero,638.11,60,1,9p3d
49 Details,9p3d_a,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_l,Vibrio VopV,Vibrio cholerae,47,,hetero,551.88,51,1,9p3d
50 Details,9p3d_a,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,372,,9p3d_m,Vibrio VopV,Vibrio cholerae,47,,hetero,1128.47,101,1,9p3d
7 Details,6d8c_L,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_J,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,485.04,42,1,6d8c
8 Details,6d8c_L,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_K,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,1141.65,100,1,6d8c
9 Details,6d8c_L,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_H,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,493.21,42,1,6d8c
10 Details,6d8c_L,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_C,Filamin-A,Homo sapiens,306,,hetero,1352.13,120,1,6d8c
11 Details,6d8c_M,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_K,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,480.72,42,1,6d8c
12 Details,6d8c_M,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_H,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,1140.48,102,1,6d8c
13 Details,6d8c_M,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_D,Filamin-A,Homo sapiens,306,,hetero,509.91,39,1,6d8c
14 Details,6d8c_M,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_E,Filamin-A,Homo sapiens,306,,hetero,1352.14,120,1,6d8c
15 Details,6d8c_J,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_H,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,1152.03,103,1,6d8c
16 Details,6d8c_J,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_A,Filamin-A,Homo sapiens,306,,hetero,1352.15,120,1,6d8c
17 Details,6d8c_K,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_H,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,483.27,42,1,6d8c
18 Details,6d8c_K,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_B,Filamin-A,Homo sapiens,306,,hetero,1352.14,120,1,6d8c
19 Details,6d8c_K,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_C,Filamin-A,Homo sapiens,306,,hetero,511.41,39,1,6d8c
20 Details,6d8c_H,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_D,Filamin-A,Homo sapiens,306,,hetero,1352.11,120,1,6d8c
21 Details,6d8c_H,"Actin, alpha skeletal muscle",Gallus gallus,375,,6d8c_A,Filamin-A,Homo sapiens,306,,hetero,513.5,39,1,6d8c
1 Details,7bti_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,7bti_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,417.17,37,1,7bti
2 Details,7bti_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,7bti_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1079.88,95,1,7bti
4 Details,7bti_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,7bti_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,467.28,39,1,7bti
5 Details,7bti_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,7bti_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1109.67,95,1,7bti
8 Details,7bti_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7bti_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,409.0,34,1,7bti
9 Details,7bti_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7bti_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1129.78,93,1,7bti
12 Details,7bti_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,7bti_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,453.67,38,1,7bti
1 Details,5oof_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5oof_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,434.33,39,1,5oof
2 Details,5oof_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5oof_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1043.48,94,1,5oof
3 Details,5oof_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5oof_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,434.33,39,1,5oof
4 Details,5oof_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5oof_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1043.47,94,1,5oof
5 Details,5oof_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5oof_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,434.31,39,1,5oof
6 Details,5oof_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5oof_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1043.47,94,1,5oof
7 Details,5oof_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5oof_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,434.32,39,1,5oof
1 Details,6m5g_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,392.17,33,1,6m5g
2 Details,6m5g_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1133.41,97,1,6m5g
3 Details,6m5g_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_G,Utrophin,Homo sapiens,269,,hetero,1270.96,108,1,6m5g
4 Details,6m5g_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,391.7,35,1,6m5g
5 Details,6m5g_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1109.24,93,1,6m5g
6 Details,6m5g_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_F,Utrophin,Homo sapiens,269,,hetero,1311.72,115,1,6m5g
7 Details,6m5g_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,380.88,32,1,6m5g
8 Details,6m5g_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1104.41,96,1,6m5g
9 Details,6m5g_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_G,Utrophin,Homo sapiens,269,,hetero,357.58,32,1,6m5g
10 Details,6m5g_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_H,Utrophin,Homo sapiens,269,,hetero,1331.99,115,1,6m5g
11 Details,6m5g_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,381.21,33,1,6m5g
12 Details,6m5g_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_F,Utrophin,Homo sapiens,269,,hetero,351.19,30,1,6m5g
13 Details,6m5g_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,6m5g_H,Utrophin,Homo sapiens,269,,hetero,366.66,33,1,6m5g
1 Details,8uz1_J,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_K,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,496.22,42,1,8uz1
2 Details,8uz1_J,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_L,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,1242.68,104,1,8uz1
3 Details,8uz1_K,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_L,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,492.59,43,1,8uz1
4 Details,8uz1_K,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_M,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,1236.11,99,1,8uz1
5 Details,8uz1_L,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_M,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,472.13,43,1,8uz1
6 Details,8uz1_L,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_N,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,1227.23,97,1,8uz1
7 Details,8uz1_M,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_N,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,485.36,43,1,8uz1
8 Details,8uz1_M,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_O,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,1240.63,103,1,8uz1
9 Details,8uz1_N,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_O,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,474.79,43,1,8uz1
10 Details,8uz1_N,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_P,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,1230.42,99,1,8uz1
11 Details,8uz1_O,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_P,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,478.79,45,1,8uz1
12 Details,8uz1_O,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_Q,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,1238.41,100,1,8uz1
13 Details,8uz1_P,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_Q,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,477.72,44,1,8uz1
14 Details,8uz1_P,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_R,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,1261.35,105,1,8uz1
15 Details,8uz1_Q,"Actin, alpha skeletal muscle",Gallus gallus,372,,8uz1_R,"Actin, alpha skeletal muscle",Gallus gallus,372,,homo,487.98,47,1,8uz1
1 Details,8dmy_A,"Actin, alpha cardiac muscle 1",Bos taurus,374,,8dmy_B,"Actin, alpha cardiac muscle 1",Bos taurus,374,,homo,1134.34,89,1,8dmy
2 Details,8dmy_A,"Actin, alpha cardiac muscle 1",Bos taurus,374,,8dmy_C,"Actin, alpha cardiac muscle 1",Bos taurus,374,,homo,332.25,27,1,8dmy
3 Details,8dmy_A,"Actin, alpha cardiac muscle 1",Bos taurus,374,,8dmy_D,"Actin, alpha cardiac muscle 1",Bos taurus,374,,homo,318.47,26,1,8dmy
4 Details,8dmy_B,"Actin, alpha cardiac muscle 1",Bos taurus,374,,8dmy_C,"Actin, alpha cardiac muscle 1",Bos taurus,374,,homo,327.79,26,1,8dmy
5 Details,8dmy_C,"Actin, alpha cardiac muscle 1",Bos taurus,374,,8dmy_D,"Actin, alpha cardiac muscle 1",Bos taurus,374,,homo,1122.75,88,1,8dmy
1 Details,8vfm_B,Cell invasion protein SipA,Salmonella,685,,8vfm_J,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,405.3,44,1,8vfm
2 Details,8vfm_B,Cell invasion protein SipA,Salmonella,685,,8vfm_W,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,831.74,77,1,8vfm
3 Details,8vfm_A,Cell invasion protein SipA,Salmonella,685,,8vfm_L,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,394.44,43,1,8vfm
4 Details,8vfm_A,Cell invasion protein SipA,Salmonella,685,,8vfm_M,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,122.22,16,1,8vfm
5 Details,8vfm_A,Cell invasion protein SipA,Salmonella,685,,8vfm_S,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,631.15,54,1,8vfm
6 Details,8vfm_A,Cell invasion protein SipA,Salmonella,685,,8vfm_U,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,835.76,79,1,8vfm
7 Details,8vfm_C,Cell invasion protein SipA,Salmonella,685,,8vfm_J,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,135.29,16,1,8vfm
8 Details,8vfm_C,Cell invasion protein SipA,Salmonella,685,,8vfm_M,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,679.7,68,1,8vfm
9 Details,8vfm_C,Cell invasion protein SipA,Salmonella,685,,8vfm_S,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,799.03,75,1,8vfm
10 Details,8vfm_C,Cell invasion protein SipA,Salmonella,685,,8vfm_U,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,442.71,45,1,8vfm
11 Details,8vfm_I,Cell invasion protein SipA,Salmonella,685,,8vfm_L,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,125.19,16,1,8vfm
12 Details,8vfm_I,Cell invasion protein SipA,Salmonella,685,,8vfm_N,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,621.97,55,1,8vfm
13 Details,8vfm_I,Cell invasion protein SipA,Salmonella,685,,8vfm_R,"Actin, alpha skeletal muscle",Gallus gallus,377,,hetero,797.36,74,1,8vfm
14 Details,8vfm_J,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_M,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,522.11,46,1,8vfm
15 Details,8vfm_J,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_S,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1175.05,106,1,8vfm
16 Details,8vfm_J,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_W,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,487.7,44,1,8vfm
17 Details,8vfm_L,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_N,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,512.29,46,1,8vfm
18 Details,8vfm_L,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_R,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1169.1,104,1,8vfm
19 Details,8vfm_L,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_S,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1151.59,97,1,8vfm
20 Details,8vfm_L,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_U,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,492.97,45,1,8vfm
21 Details,8vfm_M,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_S,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,505.24,45,1,8vfm
22 Details,8vfm_M,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_U,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1150.12,100,1,8vfm
23 Details,8vfm_M,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_W,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1164.39,104,1,8vfm
24 Details,8vfm_N,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_R,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,487.7,44,1,8vfm
25 Details,8vfm_N,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_U,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1159.51,102,1,8vfm
26 Details,8vfm_S,"Actin, alpha skeletal muscle",Gallus gallus,377,,8vfm_U,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,491.7,46,1,8vfm
1 Details,5ooe_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5ooe_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,367.35,35,1,5ooe
2 Details,5ooe_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5ooe_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,868.3,73,1,5ooe
3 Details,5ooe_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5ooe_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,868.29,73,1,5ooe
4 Details,5ooe_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5ooe_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,367.37,35,1,5ooe
5 Details,5ooe_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5ooe_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,367.38,35,1,5ooe
6 Details,5ooe_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5ooe_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,868.31,73,1,5ooe
7 Details,5ooe_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5ooe_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,367.37,35,1,5ooe
1 Details,6w17_A,Actin-related protein 3,Schizosaccharomyces pombe 972h-,427,,6w17_B,Actin-related protein 2,Schizosaccharomyces pombe 972h-,390,,hetero,408.89,30,1,6w17
2 Details,6w17_A,Actin-related protein 3,Schizosaccharomyces pombe 972h-,427,,6w17_D,Actin-related protein 2/3 complex subunit 2,Schizosaccharomyces pombe 972h-,317,,hetero,1385.17,125,1,6w17
3 Details,6w17_A,Actin-related protein 3,Schizosaccharomyces pombe 972h-,427,,6w17_E,Actin-related protein 2/3 complex subunit 3,Schizosaccharomyces pombe 972h-,174,,hetero,429.59,43,1,6w17
4 Details,6w17_A,Actin-related protein 3,Schizosaccharomyces pombe 972h-,427,,6w17_F,Actin-related protein 2/3 complex subunit 4,Schizosaccharomyces pombe 972h-,168,,hetero,182.96,17,1,6w17
5 Details,6w17_A,Actin-related protein 3,Schizosaccharomyces pombe 972h-,427,,6w17_I,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,hetero,1390.44,122,1,6w17
6 Details,6w17_B,Actin-related protein 2,Schizosaccharomyces pombe 972h-,390,,6w17_C,Actin-related protein 2/3 complex subunit 1,Schizosaccharomyces pombe 972h-,377,,hetero,242.14,24,1,6w17
7 Details,6w17_B,Actin-related protein 2,Schizosaccharomyces pombe 972h-,390,,6w17_F,Actin-related protein 2/3 complex subunit 4,Schizosaccharomyces pombe 972h-,168,,hetero,871.89,73,1,6w17
8 Details,6w17_B,Actin-related protein 2,Schizosaccharomyces pombe 972h-,390,,6w17_G,Actin-related protein 2/3 complex subunit 5,Schizosaccharomyces pombe 972h-,152,,hetero,467.03,39,1,6w17
9 Details,6w17_B,Actin-related protein 2,Schizosaccharomyces pombe 972h-,390,,6w17_I,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,hetero,490.92,34,1,6w17
10 Details,6w17_B,Actin-related protein 2,Schizosaccharomyces pombe 972h-,390,,6w17_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,hetero,1078.63,98,1,6w17
12 Details,6w17_C,Actin-related protein 2/3 complex subunit 1,Schizosaccharomyces pombe 972h-,377,,6w17_F,Actin-related protein 2/3 complex subunit 4,Schizosaccharomyces pombe 972h-,168,,hetero,1067.94,101,1,6w17
13 Details,6w17_C,Actin-related protein 2/3 complex subunit 1,Schizosaccharomyces pombe 972h-,377,,6w17_G,Actin-related protein 2/3 complex subunit 5,Schizosaccharomyces pombe 972h-,152,,hetero,576.95,49,1,6w17
14 Details,6w17_D,Actin-related protein 2/3 complex subunit 2,Schizosaccharomyces pombe 972h-,317,,6w17_F,Actin-related protein 2/3 complex subunit 4,Schizosaccharomyces pombe 972h-,168,,hetero,2036.73,145,1,6w17
15 Details,6w17_D,Actin-related protein 2/3 complex subunit 2,Schizosaccharomyces pombe 972h-,317,,6w17_H,Protein dip1,Schizosaccharomyces pombe 972h-,374,,hetero,306.41,21,1,6w17
16 Details,6w17_F,Actin-related protein 2/3 complex subunit 4,Schizosaccharomyces pombe 972h-,168,,6w17_G,Actin-related protein 2/3 complex subunit 5,Schizosaccharomyces pombe 972h-,152,,hetero,990.94,85,1,6w17
17 Details,6w17_F,Actin-related protein 2/3 complex subunit 4,Schizosaccharomyces pombe 972h-,168,,6w17_H,Protein dip1,Schizosaccharomyces pombe 972h-,374,,hetero,968.0,83,1,6w17
18 Details,6w17_I,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,6w17_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,454.6,41,1,6w17
19 Details,6w17_I,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,6w17_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1156.82,99,1,6w17
22 Details,6w17_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,6w17_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,431.79,37,1,6w17
23 Details,6w17_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,6w17_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1080.26,96,1,6w17
26 Details,6w17_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,6w17_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,501.37,43,1,6w17
1 Details,9c21_A,"Actin, cytoplasmic 1",Rattus norvegicus,375,,9c21_B,"Actin, cytoplasmic 1",Rattus norvegicus,375,,homo,1058.97,98,1,9c21
2 Details,9c21_A,"Actin, cytoplasmic 1",Rattus norvegicus,375,,9c21_D,"Actin, cytoplasmic 1",Rattus norvegicus,375,,homo,377.95,37,1,9c21
3 Details,9c21_B,"Actin, cytoplasmic 1",Rattus norvegicus,375,,9c21_C,"Actin, cytoplasmic 1",Rattus norvegicus,375,,homo,1067.23,98,1,9c21
4 Details,9c21_B,"Actin, cytoplasmic 1",Rattus norvegicus,375,,9c21_D,"Actin, cytoplasmic 1",Rattus norvegicus,375,,homo,391.14,39,1,9c21
